Series_ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MLUQS09NR0114004,,,,,,,,,,
MLUQS10NR0114004,,,,,,,,,,
MLUQS11NR0114004,,,,,,,,,,
MLUQS12NR0114004,,,,,543,1412,,,,
MLUQS13NR0114004,,,,,,,,,,
MLUQS15NR0114004,,,,,,,,,,
MLUQS16NR0114004,,,,,,,,,,
MLUQS17NR0114004,,,,,,,6000,,,
MLUQS18NR0114004,,,,,,1373,,,,
MLUQS19NR0114004,,,,,,,,,,
MLUQS20NR0114004,,,,,,,,,,
MLUQS21NR0114004,,,,,,,,,,
MLUQS22NR0114004,,,,,,,,,,
MLUQS23NR0114004,,,,,,,,,,
MLUQS24NR0114004,,,,,,,,,,
MLUQS25NR0114004,,,,,813,,,,,
MLUQS26NR0114004,,,,,,,,,,
MLUQS27NR0114004,,,,,790,530,3455,,,395
MLUQS28NR0114004,,,,,,1208,,,,
MLUQS29NR0114004,,,,,2015,,,,,
MLUQS30NR0114004,,,,,,,,,,
MLUQS31NR0114004,,,,,,,,,,
MLUQS32NR0114004,,,,,,,,,,
MLUQS33NR0114004,,,,,,,,,,
MLUQS34NR0114004,,,,,,,,,,
MLUQS35NR0114004,,,,,,,,,,
MLUQS36NR0114004,,,,,,,,,,
MLUQS37NR0114004,,,,,,,2256,512,,
MLUQS38NR0114004,,,,,,,,,,
MLUQS39NR0114004,,,,,,,,,,
MLUQS40NR0114004,,,,,,,,,,
MLUQS41NR0114004,,,,,,,,,,
MLUQS42NR0114004,,,,,,,,,,
MLUQS44NR0114004,,,,,,,,,,
MLUQS45NR0114004,,,,,,,,,,
MLUQS46NR0114004,,,,,,,,,,
MLUQS47NR0114004,,,,,,,,,,
MLUQS48NR0114004,,,,,,,,,,
MLUQS49NR0114004,,,,,,,,,,
MLUQS50NR0114004,,,,,,,745,,,
MLUQS51NR0114004,,,,,,,,,,
